Number,Station No,Dam Name,Reservoir,Latitude,Longitude,Province,WMA,Place,Catchment Area,"FSC 1,000,000m³ (million m³)",Type,actual lvl 20151130 (million m³),actual lvl 20151207 (million m³),actual lvl 20151214 (million m³),actual lvl 20151221 (million m³),actual lvl 20151228 (million m³),actual lvl 20160104 (million m³),actual lvl 20160111 (million m³),actual lvl 20160118 (million m³),actual lvl 20160125 (million m³),actual lvl 20160201 (million m³),actual lvl 20160208 (million m³),actual lvl 20160215 (million m³),actual lvl 20160229 (million m³),actual lvl 20160307 (million m³),actual lvl 20160314 (million m³),actual lvl 20160321 (million m³),20151123 (percent full),20151130 (percent full),20151207  (percent full),20151214  (percent full),20151221 (percent full),20151228 (percent full),20150104 (percent full),20160111 (percent full),20160118 (percent full),20160125 (percent full),20160201 (percent full),20160208 (percent full),20160215 (percent full),20160229 (percent full),20160307 (percent full),20160314 (percent full),20160321 (percent full),2015 week 11 (percent full)
54,B6R003,Blyderivierpoort Dam ,Blyderivierpoort,24.53662,30.79805,M,4,Blyde River @ Blyderivierpoort Dam,2169,54.369,,35.104,33.837,33.568,33.568,,,30.467,29.699,,29.808,29.481,29.099,27.9,27.195,32.292,38.07,67.4,64.6,62.2,61.7,61.7,,,56,54.6,,54.8,54.2,53.5,51.3,50,59.4,70,100.4
123,D7R001,Boegoeberg Dam ,Boegoeberg,29.04107,22.2023,NC,14,Orange River @ Boegoeberg Dam,343050,19.815,Balancing Dam,20.764,19.43,21.137,20.031,,,19.354,21.44,,20.322,19.051,16.281,20.322,18.529,20.103,,104.8,104.8,98.1,106.7,101.1,,,97.7,108.2,,102.6,96.1,82.2,102.6,93.5,101.5,,96.3
208,S3L001,Boesmanskrantz Dam,Boesmanskrantz,,,EC,12,,,4.818,,4.786,4.781,4.729,4.65,,,4.488,4.444,,4.538,4.379,4.319,4.158,4.169,4.201,4.212,99.8,99.3,99.2,98.2,96.5,,,93.2,92.2,,94.2,90.9,89.6,86.3,86.5,87.2,87.4,99.5
3,A2R002,Bon Accord Dam,Bon Accord,25.62257,28.19138,G,3,Apies River @ Bon Accord Dam,315,4.381,,4.537,4.511,4.683,4.709,,,5.122,4.736,,4.669,4.816,4.669,4.577,4.511,4.857,4.669,104.5,103.6,103,106.9,107.5,,,116.9,108.1,,106.6,109.9,106.6,104.5,103,110.9,106.6,107.5
73,C2R001,Boskop Dam ,Boskop,26.56171,27.11148,NW,8,Mooi River @ Boskop Dam,3297,21.026,,19.628,19.449,17.709,17.113,,,,14.613,,14.852,14.703,14.643,14.703,14.733,14.583,14.583,96.8,93.4,92.5,84.2,81.4,,,,69.5,,70.6,69.9,69.6,69.9,70.1,69.4,69.4,101.2
7,A2R006,Bospoort Dam ,Bospoort,25.56348,27.3499,NW,3,Hex River @ Bospoort Dam,1068,15.799,,15.422,15.347,15.235,15.05,,,15.198,15.347,,15.497,15.572,15.534,15.534,15.497,16.102,15.988,99,97.6,97.1,96.4,95.3,,,96.2,97.1,,98.1,98.6,98.3,98.3,98.1,101.9,101.2,101.8
137,H1R001,Brandvlei Dam ,Brandvlei,33.70185,19.45007,WCw,18,Lower Brandvlei River @ Brandvlei Dam,63,286.04,,150.91,145.76,139.79,133.89,,,115.68,109.54,,98.287,92.608,86.557,75.784,70.819,65.501,60.135,54.4,52.8,51,48.9,46.8,,,40.4,38.3,,34.4,32.4,30.3,26.5,24.8,22.9,21,41.3
202,R2R003,Bridle Drift Dam,Bridle Drift,32.98949,27.7307,EC,12,Buffalo River @ Bridle Drift Dam,1176,97.923,,96.343,95.595,95.149,94.26,,,91.482,90.473,,88.328,87.479,86.357,84.416,83.456,85.66,83.73,98.7,98.4,97.6,97.2,96.3,,,93.4,92.4,,90.2,89.3,88.2,86.2,85.2,87.5,85.5,79.4
41,B2R001,Bronkhorstspruit Dam ,Bronkhorstspruit,25.88717,28.7215,G,4,Bronkhorstspruit @ Bronkhorstspruit Dam,1244,56.994,,40.912,40.353,40.076,39.868,,,36.43,37.091,,39.045,38.434,38.366,37.826,36.826,43.34,45.084,72.8,71.8,70.8,70.3,70,,,63.9,65.1,,68.5,67.4,67.3,66.4,64.6,76,79.1,95.3
150,H7R001,Buffeljags Dam ,Buffelsjags,34.01873,20.53283,WCo,18,Buffeljags River @ Buffeljags Dam,614,4.543,,4.607,4.543,4.48,4.405,,,4.594,4.607,,4.556,4.697,4.568,4.556,4.417,4.645,4.607,100.8,101.4,100,98.6,97,,,101.1,101.4,,100.3,103.4,100.6,100.3,97.2,102.3,101.4,100.7
49,B4R004,Buffelskloof Dam ,Buffelskloof,24.95515,30.26547,M,4,Waterval River @ Buffelskloof Dam,281,5.244,,2.31,2.26,2.283,2.365,,,2.108,2.055,,1.759,1.66,1.604,1.612,1.555,1.756,2.342,46.2,44.1,43.1,43.5,45.1,,,40.2,39.2,,33.5,31.7,30.6,30.7,29.6,33.5,44.7,100.8
6,A2R005,Buffelspoort Dam ,Buffelspoort,25.78035,27.48736,NW,3,Sterkstroom River @ Buffelspoort Dam,119,10.183,,8.401,8.272,8.155,8.063,,,7.869,7.723,,7.723,7.601,7.524,7.296,7.274,7.612,8.581,83.7,82.5,81.2,80.1,79.2,,,77.3,75.8,,75.8,74.6,73.9,71.6,71.4,74.8,84.3,98.8
124,E1R001,Bulshoek Dam ,Bulshoek,31.99614,18.78708,WCw,17,Olifants River @ Bulshoek Dam,2770,4.809,,2.908,3.425,3.589,3.454,,,3.139,3.309,,3.41,3.181,3.111,2.782,3.125,2.81,2.401,65.6,60.5,71.2,74.6,71.8,,,65.3,68.8,,70.9,66.1,64.7,57.9,65,58.4,49.9,90
157,J2R001,Calitzdorp Dam ,Calitzdorp,33.49058,21.70458,WCo,16,Nels River @ Calitzdorp Dam,37,4.817,,4.653,4.659,4.502,4.349,,,4.767,4.681,,4.557,4.585,4.37,4.236,4.231,4.115,3.946,100.2,96.6,96.7,93.5,90.3,,,99,97.2,,94.6,95.2,90.7,87.9,87.8,85.4,81.9,50.5
196,H1R003,Ceres Dam,Ceres,,,WCw,18,,,17.25,,,,,,,,,,,,,,2.34,,2.062,2.02,,,,,,,,,,,,,14.2,13.6,,12,11.7,
125,E1R002,Clanwilliam Dam ,Clanwilliam,32.1847,18.87442,WCw,17,Olifants River @ Clanwilliam Dam,2017,122.48,,85.041,80.159,75.792,72.671,,,57.945,53.097,,44.563,40.538,36.561,29.201,25.171,22.312,19.481,72.5,69.4,65.4,61.9,59.3,,,47.3,43.4,,36.4,33.1,29.9,23.8,20.6,18.2,15.9,25.9
220,T2R003,Corana Dam ,Corana,31.43745,28.87421,EC,12,Corana River @ Corana Dam,5.3,0.754,,2.083,0.182,0.176,0.167,,,0.143,0.14,,0.209,0.213,0.205,0.23,0.22,0.253,0.255,98,99.2,24.1,23.3,22.2,,,19,18.6,,27.8,28.3,27.2,30.5,29.2,33.6,33.9,43.9
239,V2R001,Craigie Burn Dam,Craigie Burn,29.16329,30.28704,KN,7,Mnyamvubu River @ Craigie Burn Dam,154,22.466,,14.399,14.058,14.042,14.35,,,14.074,13.881,,14.696,15.031,15.184,15.031,14.663,14.73,15.065,65.9,64.1,62.6,62.5,63.9,,,62.6,61.8,,65.4,66.9,67.6,66.9,65.3,65.6,67.1,100.3
266,X3R001,Da Gama Dam,Da Gama,25.14185,31.02074,M,5,White Waters River @ Da Gama Dam,61,13.526,,8.115,8.066,8.261,8.508,,,8.459,8.212,,8.31,8.066,8.066,7.826,7.826,7.97,8.31,55.4,60,59.6,61.1,62.9,,,62.5,60.7,,61.4,59.6,59.6,57.9,57.9,58.9,61.4,94.8
63,B8R006,Dap Naude Dam ,Dap Naude,23.81421,29.96638,LP,2,Broederstroom River @ Dap Naude Dam,14,1.936,,1.619,1.596,1.572,1.567,,,1.479,1.731,,1.738,1.535,1.558,1.598,1.602,1.836,1.942,83.5,83.6,82.4,81.2,80.9,,,76.4,89.4,,89.8,79.3,80.5,82.5,82.8,94.8,100.3,98.6
186,N2R001,Darlington Dam ,Darlington,33.20611,25.14711,EC,15,Sondags River @ Darlington Dam,16820,180.83,,52.645,48.528,44.214,37.979,,,24.689,22.826,,29.489,30.334,30.051,32.564,36.057,40.26,47.683,31.9,29.1,26.8,24.4,21,,,13.7,12.6,,16.3,16.8,16.6,18,19.9,22.3,26.4,35.2
136,G4R010,De Bos Dam ,De Bos,34.36792,19.23375,WCw,18,Onrus River @ De Bos Dam,33,5.735,,5.568,5.475,5.357,5.238,,,4.861,4.745,,4.513,4.416,4.328,4.166,4.091,4.042,3.965,97.8,97.1,95.5,93.4,91.3,,,84.8,82.7,,78.7,77,75.5,72.6,71.3,70.5,69.1,76.2
50,B4R007,De Hoop Dam,De Hoop,24.95481,29.95628,LP,4,Steelpoort River @ DE HOOP DAM,2864,348.7,,326.1,325.62,325.29,327.74,,,326.27,325.78,,323.83,323.51,322.54,322.38,321.74,322.87,324.97,94.1,93.5,93.4,93.3,94,,,93.6,93.4,,92.9,92.8,92.5,92.5,92.3,92.6,93.2,100.2
195,Q8R001,De Mistkraal Dam,De Mist Kraal,32.96709,25.67143,EC,15,Little Fish River @ De Mistkraal Dam,1868,2.053,Balancing Dam,1.583,1.433,1.661,0.938,,,1.642,1.488,,1.708,1.762,1.526,2.017,1.824,2.143,1.88,78,77.1,69.8,80.9,45.7,,,80,72.5,,83.2,85.8,74.3,98.2,88.8,104.3,91.6,56.4
199,R2L001,Debe Dam,Debe,,,EC,12,,,6.331,,6.165,6.138,6.102,6.029,,,5.867,5.805,,5.718,5.665,5.639,5.544,5.502,5.57,5.544,97.8,97.4,97,96.4,95.2,,,92.7,91.7,,90.3,89.5,89.1,87.6,86.9,88,87.6,94.5
117,D4R003,Disaneng Dam ,Disaneng,25.82408,25.31339,NW,3,Molopo River @ Disaneng Dam,3366,14.125,,6.003,5.932,6.926,7.193,,,6.098,5.283,,5.155,5.059,5.071,4.808,4.83,4.613,4.507,43,42.5,42,49,50.9,,,43.2,37.4,,36.5,35.8,35.9,34,34.2,32.7,31.9,60.2
27,A6R001,Doorndraai Dam ,Doorndraai,24.2796,28.77768,LP,1,Sterk River @ Doorndraai Dam,580,43.764,,36.354,36.004,35.804,35.408,,,34.103,33.807,,32.831,32.494,32.112,31.828,31.545,31.639,31.78,80.7,83.1,82.3,81.8,80.9,,,77.9,77.2,,75,74.2,73.4,72.7,72.1,72.3,72.6,99.7
207,S2R002,Doornrivier Dam ,Doornrivier,31.51259,27.33413,EC,12,Doorn River @ Doornrivier Dam,295,17.099,,10.681,10.708,9.726,9.726,,,9.752,9.443,,9.909,9.83,9.701,9.935,9.83,9.882,9.856,62.5,62.5,62.6,56.9,56.9,,,57,55.2,,57.9,57.5,56.7,58.1,57.5,57.8,57.6,63.6
105,C9R003,Douglas Storage Weir  ,"Douglas Storage 
Weir",29.04405,23.83518,NC,14,Vaal River @ Douglas Storage Weir,193840,16.245,Balancing Dam,16.651,17.119,15.764,13.625,,,9.33,8.881,,17.355,16.245,13.117,16.962,17.276,17.753,17.434,86.6,102.5,105.4,97,83.9,,,57.4,54.7,,106.8,100,80.7,104.4,106.3,109.3,107.3,106.3
259,X1R004,Driekoppies Dam ,Driekoppies,25.71252,31.53015,M,5,Lomati River @ Driekoppies Dam,902,250.92,,152.76,,147.16,143.28,,,128.97,126.56,,,117.7,114.73,111.93,109.74,111.81,111.81,62.3,60.9,,58.6,57.1,,,51.4,50.4,,,46.9,45.7,44.6,43.7,44.6,44.6,92.2
236,V1R002,Driel Barrage ,Driel Barrage,28.7635,29.29101,KN,7,Tugela River @ Driel Barrage,1656,8.694,Balancing Dam,7.984,,,7.984,,,8.548,8.895,,8.895,8.694,8.404,8.404,8.291,8.291,8.291,91.8,91.8,,,91.8,,,98.3,102.3,,102.3,100,96.7,96.7,95.4,95.4,95.4,99.2
151,H8R001,Duiwenhoks Dam ,Duiwenhoks,33.99663,20.94897,WCo,16,Duiwenhoks River @ Duiwenhoks Dam,146,6.18,,6.212,6.193,6.174,6.061,,,6.199,6.212,,6.148,6.212,6.18,6.18,,6.174,6.193,100.4,100.5,100.2,99.9,98.1,,,100.3,100.5,,99.5,100.5,100,100,,99.9,100.2,92.3
58,B8R001,Ebenezer Dam ,Ebenezer,23.94011,29.9842,LP,2,Groot-Letaba River @ Ebenezer Dam,166,69.139,,54.759,54.427,54.096,53.536,,,51.748,51.299,,50.282,49.872,49.37,48.406,48.653,50.853,54.393,79.8,79.2,78.7,78.2,77.4,,,74.8,74.2,,72.7,72.1,71.4,70,70.4,73.6,78.7,97.4
109,D2R001,Egmont Dam ,Egmont,30.0526,27.02741,FS,13,Witspruit @ Egmont Dam,310,9.059,,4.25,4.008,3.724,3.516,,,2.667,2.697,,2.682,2.477,2.224,2.175,1.996,1.991,1.898,49.4,46.9,44.2,41.1,38.8,,,29.4,29.8,,29.6,27.3,24.6,24,22,22,20.9,79.1
133,G4R002,Eikenhof Dam ,Eikenhof,34.12752,19.03471,WCw,18,Palmiet River @ Eikenhof Dam,64,28.856,,26.851,26.081,25.323,24.826,,,22.425,21.485,,19.918,19.037,18.183,16.451,15.675,15.113,14.302,94.6,93.1,90.4,87.8,86,,,77.7,74.5,,69,66,63,57,54.3,52.4,49.6,60.4
194,Q5R001,Elandsdrift Dam ,Elands Drift,32.53008,25.75624,EC,15,Great Fish River @ Elandsdrift Dam,16865,3.546,Balancing Dam,1.223,0.67,1.042,,,,0.59,1.167,,0.866,0.505,0.425,0.498,0.459,3.128,1.531,31.7,34.5,18.9,29.4,,,,16.6,32.9,,24.4,14.2,12,14.1,12.9,88.2,43.2,42.1
149,H6R002,Elandskloof Dam ,Elandskloof,33.95214,19.28454,WCw,18,Elands River @ Elandskloof Dam,50,10.993,,9.977,9.551,9.358,7.971,,,7.638,7.064,,5.851,5.452,,4.053,4.669,3.382,3.016,92,90.8,86.9,85.1,72.5,,,69.5,64.3,,53.2,49.6,,36.9,42.5,30.8,27.4,34.8
78,C2R006,Elandskuil Dam ,Elandskuil,26.34807,26.77865,NW,9,Swartleegte River @ Elandskuil Dam,29,1.181,,0.246,,0.101,0.083,,,0.11,0.576,,0.363,0.285,,0.088,0.087,0.106,0.093,31.7,20.8,,8.5,7,,,9.3,48.8,,30.7,24.2,,7.4,7.4,9,7.9,13.1
86,C4R002,Erfenis Dam ,Erfenis,28.51059,26.77838,FS,9,Groot-Vet River @ Erfenis Dam,4724,206.06,,29.574,27.322,26.826,25.371,,,21.057,21.328,,22.812,21.601,20.343,17.883,,19.302,19.473,15,14.4,13.3,13,12.3,,,10.2,10.4,,11.1,10.5,9.9,8.7,,9.4,9.4,27.6
170,K2R001,Ernest Robertson Dam  ,Ernest Robertson,33.90214,22.1743,WCo,16,Groot Brak River @ Ernest Robertson Dam,17,0.415,,0.418,0.416,0.42,0.419,,,0.418,0.418,,0.413,0.414,0.401,0.396,0.387,0.42,0.419,100.4,100.8,100.4,101.2,101,,,100.7,100.7,,99.6,99.7,96.6,95.4,93.4,101.2,101,100.3
102,C8R008,Fika-Patso Dam ,Fika-Patso,28.67201,28.85625,FS,8,Namahadi River @ Fika-Patso Dam,64,29.411,,4.896,,4.926,,,,5.002,5.088,,,,5.116,5.117,,5.113,,17,16.6,,16.7,,,,17,17.3,,,,17.4,17.4,,17.4,,66.6
51,B5R002,Flag Boshielo Dam ,Flag Boshielo,24.78069,29.42576,LP,4,Olifants River @ Flag Boshielo Dam,23555,185.13,,102.7,100.77,99.5,98.739,,,91.888,90.197,,84.016,82.329,80.226,78.159,74.353,,78.408,57,55.5,54.4,53.7,53.3,,,49.6,48.7,,45.4,44.5,43.3,42.2,40.2,,42.4,96.8
155,J1R003,Floriskraal Dam ,Floris Kraal,33.2917,20.99037,WCo,16,Buffels River @ Floriskraal Dam,4024,48.266,,12.021,11.867,11.02,6.523,,,5.419,5.229,,4.937,4.74,4.577,3.944,3.826,3.711,3.599,25.3,24.9,24.6,22.8,13.5,,,11.2,10.8,,10.2,9.8,9.5,8.2,7.9,7.7,7.5,42.6
160,J2R004,Gamka Dam ,Gamka,32.23877,22.58651,WCo,16,Gamka River @ Gamka Dam,98,1.82,,0.312,0.267,0.247,0.218,,,0.239,0.933,,1.115,1.115,1.086,0.918,0.89,0.858,0.814,17.6,17.1,14.7,13.6,12,,,13.1,51.3,,61.3,61.3,59.7,50.4,48.9,47.2,44.7,6.2
162,J2R006,Gamkapoort Dam ,Gamkapoort,33.30919,21.6342,WCo,16,Gamka River @ Gamkapoort Dam,17055,36.234,,6.624,5.287,4.068,3.793,,,2.461,2.769,,6.675,6.675,6.424,5.726,4.36,2.611,1.03,22.8,18.3,14.6,11.2,10.5,,,6.8,7.6,,18.4,18.4,17.7,15.8,12,7.2,2.8,20.9
172,K3R002,Garden Route Dam ,Garden Route,33.96409,22.5143,WCo,16,Swart River @ Garden Route Dam,36,9.979,,9.979,9.979,9.979,9.953,,,9.979,9.979,,9.892,9.771,9.576,9.242,9.038,8.949,8.893,99.1,100,100,100,99.7,,,100,100,,99.1,97.9,96,92.6,90.6,89.7,89.1,90.5
114,D3R002,Gariep Dam ,Gariep,30.62324,25.50678,FS,13,Orange River @ Gariep Dam,70655,5196.04,,2772.92,2725.86,2677.67,2630.18,,,2472.89,2453.29,,2543.15,2557.76,2559.59,2798.75,2802.74,2735.6,2723.91,54.4,53.4,52.5,51.5,50.6,,,47.6,47.2,,48.9,49.2,49.3,53.9,53.9,52.6,52.4,88.3
215,S7R001,Gcuwa Dam ,Gcuwa,32.31969,28.13498,EC,12,Gcuwa River @ Gcuwa Dam,712,0.601,,0.404,0.553,0.601,0.501,,,0.516,0.353,,0.516,0.406,0.242,0.601,0.588,0.601,,87.2,67.1,91.9,100,83.4,,,85.8,58.7,,85.8,67.4,40.2,100,97.7,100,,68.1
28,A6R002,Glen Alpine Dam ,Glen Alpine,23.19201,28.6974,LP,1,Mogalakwena River @ Glen Alpine Dam,11245,18.889,,2.98,2.906,2.821,2.725,,,2.463,2.419,,2.247,2.173,2.131,2.05,1.99,1.95,4.143,16,15.8,15.4,14.9,14.4,,,13,12.8,,11.9,11.5,11.3,10.9,10.5,10.3,21.9,99.5
,Q9L001,Glen Melville,Glen Melville,,,EC,,,,6.229,,,2.776,2.341,2.282,,,3.377,2.986,,5.69,6.009,5.69,6.13,6.054,5.926,6.16,,,44.6,37.6,36.6,,,54.2,47.9,,91.4,96.5,91.4,98.4,97.2,95.1,98.9,65.7
246,W1R001,Goedertrouw Dam ,Goedertrouw,28.77143,31.46873,KN,6,Mhlatuze River @ Goedertrouw Dam,1279,301.26,,96.058,93.605,94.229,94.456,,,90.575,86.368,,81.628,82.296,79.695,75.395,72.899,71.489,70.766,32.5,31.9,31.1,31.3,31.4,,,30.1,28.7,,27.1,27.3,26.5,25,24.2,23.7,23.5,45.1
191,Q1R001,Grassridge Dam ,Grassridge,31.7678,25.46615,EC,15,Groot Brak River @ Grassridge Dam,4326,46.19,Balancing Dam,10.95,11.216,10.818,11.76,,,17.379,19.272,,18.995,16.097,15.193,22.282,23.413,24.867,25.292,24.7,23.7,24.3,23.4,25.5,,,37.6,41.7,,41.1,34.8,32.9,48.2,50.7,53.8,54.8,34.1
180,M1R001,Groendal Dam ,Groendal,33.69049,25.26576,EC,15,Swartkops River @ Groendal Dam,264,11.638,,11.652,11.638,11.619,11.576,,,11.195,11.207,,10.979,10.886,10.787,10.653,10.491,10.465,10.36,100.2,100.1,100,99.8,99.5,,,96.2,96.3,,94.3,93.5,92.7,91.5,90.1,89.9,89,98.4
70,C1R002,Grootdraai Dam ,Grootdraai,26.91862,29.29478,M,8,Vaal River @ Grootdraai Dam,7982,349.53,,214.02,212.12,207.01,198.44,,,189.76,195.03,,229.15,228.29,225.72,226.29,224.02,226.01,295.92,61.9,61.2,60.7,59.2,56.8,,,54.3,55.8,,65.6,65.3,64.6,64.7,64.1,64.7,84.7,95.1
91,C5R005,Groothoek Dam ,Groothoek,29.30256,26.84751,FS,13,Kgabanyane River @ Groothoek Dam,116,11.905,,0,0,0,0,,,0,0,,,0,0,0,0,0,0,0,0,0,0,0,,,0,0,,,0,0,0,0,0,0,0
213,S6R001,Gubu Dam ,Gubu,32.60964,27.27874,EC,12,Gubu River @ Gubu Dam,23,8.504,,8.504,8.526,8.494,8.44,,,8.236,8.236,,8.131,8.131,8.078,8.141,8.12,8.472,8.548,99.9,100,100.3,99.9,99.2,,,96.8,96.8,,95.6,95.6,95,95.7,95.5,99.6,100.5,100.6
178,L8R002,Haarlem Dam ,Haarlem,33.76974,23.31777,WCo,16,Groot River @ Haarlem Dam,29,4.603,,,4.625,4.652,4.614,,,4.378,4.273,,4.027,3.888,3.728,3.514,3.342,3.338,,100.7,,100.5,101.1,100.2,,,95.1,92.8,,87.5,84.5,81,76.3,72.6,72.5,,78.3
59,B8R002,Hans Merensky Dam ,Hans Merensky,23.74941,30.10856,LP,2,Ramadiepa River @ Hans Merensky Dam,86,1.225,,1.139,1.102,1.072,1.116,,,0.931,1.012,,1.037,1.037,1.02,1.046,1.102,1.268,1.23,87.1,93,90,87.5,91.1,,,76,82.6,,84.7,84.7,83.3,85.4,90,103.5,100.4,101.4
2,A2R001,Hartbeespoort Dam ,Hartbeespoort,25.72564,27.84849,NW,3,Krokodil River @ Hartbeespoort Dam,4014,186.44,,169.62,167.5,169.43,169.04,,,172.74,166.73,,181.73,180.11,182.75,181.93,179.91,183.97,185.41,89.4,91,89.8,90.9,90.7,,,92.7,89.4,,97.5,96.6,98,97.6,96.5,98.7,99.4,96.8
168,K1R001,Hartebeestkuil Dam ,Hartebeestkuil,34.09644,22.00749,WCo,16,Hartenbos River @ Hartebeestkuil Dam,100,7.133,,6.081,5.999,5.927,5.836,,,5.576,5.497,,5.32,5.243,5.148,4.988,4.905,4.86,4.805,86.3,85.3,84.1,83.1,81.8,,,78.2,77.1,,74.6,73.5,72.2,69.9,68.8,68.1,67.4,47.2
230,U3R001,Hazelmere Dam ,Hazelmere,29.59838,31.04285,KN,11,Mdloti River @ Hazelmere Dam,376,17.676,,4.395,4.395,5.047,5.468,,,5.476,5.757,,6.039,5.969,5.841,5.987,5.874,6.057,6.772,25.1,24.9,24.9,28.6,30.9,,,31,32.6,,34.2,33.8,33,33.9,33.2,34.3,38.3,45.2
256,W5R004,Heyshope Dam ,Heyshope,26.99753,30.52484,M,6,Assegaai River @ Heyshope Dam,1120,444.94,,394.89,396.75,394.43,392.12,,,386.63,389.82,,390.74,388.91,390.74,392.58,391.2,399.95,408.76,89.6,88.8,89.2,88.6,88.1,,,86.9,87.6,,87.8,87.4,87.8,88.2,87.9,89.9,91.9,100
249,W3R001,Hluhluwe Dam ,Hluhluwe,28.12175,32.17952,KN,6,Hluhluwe River @ Hluhluwe Dam,723,25.893,,7.16,6.95,6.739,6.557,,,5.86,5.517,,5.045,5.002,4.843,4.677,4.596,4.565,4.485,28.4,27.7,26.8,26,25.3,,,22.6,21.3,,19.5,19.3,18.7,18.1,17.7,17.6,17.3,51.4
175,K9R002,Impofu Dam ,Impofu,34.09499,24.69038,EC,15,Krom River @ Impofu Dam,844,105.76,,106.2,105.88,105.57,105.19,,,103.36,102.54,,101.36,100.69,100.07,98.912,98.973,98.124,97.582,100.2,100.4,100.1,99.8,99.5,,,97.7,97,,95.8,95.2,94.6,93.5,93.6,92.8,92.3,59.5
